timestamp	step	epoch
1656498712907	0	1.0
1656498716845	1	2.0
1656498720852	2	3.0
1656498724764	3	4.0
1656498728690	4	5.0
1656498732627	5	6.0
1656498736674	6	7.0
1656498740862	7	8.0
1656498744847	8	9.0
1656498748862	9	10.0
1656498752783	10	11.0
1656498756704	11	12.0
1656498756709	12	12.0
